STLANAME,PHYSADDR,PHYSCITY,PHYS_ST,PHYSZIP,PHYSZIP4,MAILADDR,MAILCITY,MAIL_ST,MAILZIP,MAILZIP4,WEBADDR,FYSTART,FYSTART_F,FYEND,FYEND_F,BRANCH,BRANCH_F,INDAGY,INDAGY_F,APPBYGOV,APPBYGOV_F,APPBYOTH,APPBYOTH_F,LARGERAG,LARGERAG_F,OTHAGSP,OTHAGSP_F,PLA_BRCO,PLA_BRCO_F,PLA_GOV,PLA_GOV_F,PLD_OTH,PLD_OTH_F,STARCHIV,STARCHIV_F,STLEGREF,STLEGREF_F,STHSTMUS,STHSTMUS_F,STRECMNG,STRECMNG_F,OTHALLOP,OTHALLOP_F,OTHALLSP,OTHALLSP_F,STLACONT,STLACONT_F,STLAHOST,STLAHOST_F,ACCRLIBA,ACCRLIBA_F,ACCRLIBB,ACCRLIBB_F,ACCRLIBC,ACCRLIBC_F,ACCRLIBD,ACCRLIBD_F,ACCRLIBE,ACCRLIBE_F,LSTASVA,LSTASVA_F,LSTASVB,LSTASVB_F,LSTASVC,LSTASVC_F,LSTASVD,LSTASVD_F,LSTASVE,LSTASVE_F,STAIDSVA,STAIDSVA_F,STAIDSVB,STAIDSVB_F,STAIDSVC,STAIDSVC_F,STAIDSVD,STAIDSVD_F,STAIDSVE,STAIDSVE_F,CERTLIBA,CERTLIBA_F,CERTLIBB,CERTLIBB_F,CERTLIBC,CERTLIBC_F,CERTLIBD,CERTLIBD_F,CERTLIBE,CERTLIBE_F,COLLBSTA,COLLBSTA_F,COLLBSTB,COLLBSTB_F,COLLBSTC,COLLBSTC_F,COLLBSTD,COLLBSTD_F,COLLBSTE,COLLBSTE_F,CNSLTSVA,CNSLTSVA_F,CNSLTSVB,CNSLTSVB_F,CNSLTSVC,CNSLTSVC_F,CNSLTSVD,CNSLTSVD_F,CNSLTSVE,CNSLTSVE_F,CNTEDPRA,CNTEDPRA_F,CNTEDPRB,CNTEDPRB_F,CNTEDPRC,CNTEDPRC_F,CNTEDPRD,CNTEDPRD_F,CNTEDPRE,CNTEDPRE_F,COOPPURA,COOPPURA_F,COOPPURB,COOPPURB_F,COOPPURC,COOPPURC_F,COOPPURD,COOPPURD_F,COOPPURE,COOPPURE_F,ILLREFA,ILLREFA_F,ILLREFB,ILLREFB_F,ILLREFC,ILLREFC_F,ILLREFD,ILLREFD_F,ILLREFE,ILLREFE_F,LIBLEGA,LIBLEGA_F,LIBLEGB,LIBLEGB_F,LIBLEGC,LIBLEGC_F,LIBLEGD,LIBLEGD_F,LIBLEGE,LIBLEGE_F,LIBPLANA,LIBPLANA_F,LIBPLANB,LIBPLANB_F,LIBPLANC,LIBPLANC_F,LIBPLAND,LIBPLAND_F,LIBPLANE,LIBPLANE_F,LITPRSVA,LITPRSVA_F,LITPRSVB,LITPRSVB_F,LITPRSVC,LITPRSVC_F,LITPRSVD,LITPRSVD_F,LITPRSVE,LITPRSVE_F,OCLCGACA,OCLCGACA_F,OCLCGACB,OCLCGACB_F,OCLCGACC,OCLCGACC_F,OCLCGACD,OCLCGACD_F,OCLCGACE,OCLCGACE_F,PRESERVA,PRESERVA_F,PRESERVB,PRESERVB_F,PRESERVC,PRESERVC_F,PRESERVD,PRESERVD_F,PRESERVE,PRESERVE_F,REFREFA,REFREFA_F,REFREFB,REFREFB_F,REFREFC,REFREFC_F,REFREFD,REFREFD_F,REFREFE,REFREFE_F,RETROCVA,RETROCVA_F,RETROCVB,RETROCVB_F,RETROCVC,RETROCVC_F,RETROCVD,RETROCVD_F,RETROCVE,RETROCVE_F,STSTANDA,STSTANDA_F,STSTANDB,STSTANDB_F,STSTANDC,STSTANDC_F,STSTANDD,STSTANDD_F,STSTANDE,STSTANDE_F,SWDIGPRA,SWDIGPRA_F,SWDIGPRB,SWDIGPRB_F,SWDIGPRC,SWDIGPRC_F,SWDIGPRD,SWDIGPRD_F,SWDIGPRE,SWDIGPRE_F,STWIDPRA,STWIDPRA_F,STWIDPRB,STWIDPRB_F,STWIDPRC,STWIDPRC_F,STWIDPRD,STWIDPRD_F,STWIDPRE,STWIDPRE_F,SWVRSA,SWVRSA_F,SWVRSB,SWVRSB_F,SWVRSC,SWVRSC_F,SWVRSD,SWVRSD_F,SWVRSE,SWVRSE_F,SUMREADA,SUMREADA_F,SUMREADB,SUMREADB_F,SUMREADC,SUMREADC_F,SUMREADD,SUMREADD_F,SUMREADE,SUMREADE_F,UNIONDVA,UNIONDVA_F,UNIONDVB,UNIONDVB_F,UNIONDVC,UNIONDVC_F,UNIONDVD,UNIONDVD_F,UNIONDVE,UNIONDVE_F,UNIVSERA,UNIVSERA_F,UNIVSERB,UNIVSERB_F,UNIVSERC,UNIVSERC_F,UNIVSERD,UNIVSERD_F,UNIVSERE,UNIVSERE_F,TOTHRS,TOTHRS_F,TOTHRSCE,TOTHRSCE_F,MON2FRCE,MON2FRCE_F,SATSUNCE,SATSUNCE_F,MAINOUT,MAINOUT_F,OTHEROUT,OTHEROUT_F,BKMOBILE,BKMOBILE_F,TOTALOUT,TOTALOUT_F,BPHOUTA,BPHOUTA_F,BPHOUTB,BPHOUTB_F,BPHOUTC,BPHOUTC_F,BPHOUTD,BPHOUTD_F,COROUTA,COROUTA_F,COROUTB,COROUTB_F,COROUTC,COROUTC_F,COROUTD,COROUTD_F,OTSTOUTA,OTSTOUTA_F,OTSTOUTB,OTSTOUTB_F,OTSTOUTC,OTSTOUTC_F,OTSTOUTD,OTSTOUTD_F,GVEMOUTA,GVEMOUTA_F,GVEMOUTB,GVEMOUTB_F,GVEMOUTC,GVEMOUTC_F,GVEMOUTD,GVEMOUTD_F,GPOUTA,GPOUTA_F,GPOUTB,GPOUTB_F,GPOUTC,GPOUTC_F,GPOUTD,GPOUTD_F,BKSERVOL,BKSERVOL_F,AUDIO,AUDIO_F,VIDEO,VIDEO_F,SUBSCRIP,SUBSCRIP_F,GOVDOC,GOVDOC_F,STDEPLIB,STDEPLIB_F,FDDEPLIB,FDDEPLIB_F,REGIONAL,REGIONAL_F,SELECTIV,SELECTIV_F,CIRC,CIRC_F,PROVTO,PROVTO_F,RECFROM,RECFROM_F,REFTRANS,REFTRANS_F,LIBVISTS,LIBVISTS_F,GRANTAW,GRANTAW_F,EVENTS,EVENTS_F,ATEVENTS,ATEVENTS_F,MADMIN,MADMIN_F,NADMIN,NADMIN_F,OADMIN,OADMIN_F,ADMIN,ADMIN_F,MLIBDEV,MLIBDEV_F,NLIBDEV,NLIBDEV_F,OLIBDEV,OLIBDEV_F,LIBDEV,LIBDEV_F,MLIBSERV,MLIBSERV_F,NLIBSERV,NLIBSERV_F,OLIBSERV,OLIBSERV_F,LIBSERV,LIBSERV_F,MOTHSERV,MOTHSERV_F,NOTHSERV,NOTHSERV_F,OOTHSERV,OOTHSERV_F,OTHSERV,OTHSERV_F,MTOTSTAF,MTOTSTAF_F,NTOTSTAF,NTOTSTAF_F,OTOTSTAF,OTOTSTAF_F,TOTSTAF,TOTSTAF_F,ASF_PUB,ASF_PUB_F,ASF_AC,ASF_AC_F,ASF_SCH,ASF_SCH_F,ASF_SP,ASF_SP_F,ASF_LC,ASF_LC_F,LSTAINC,LSTAINC_F,FIOTH,FIOTH_F,FIOTHSP,FIOTHSP_F,TOTAL_FI,TOTAL_FI_F,SISTLAOP,SISTLAOP_F,SIAIDLIB,SIAIDLIB_F,SIOTHER,SIOTHER_F,TOTAL_SI,TOTAL_SI_F,OTHINCM,OTHINCM_F,TOTINCM,TOTINCM_F,OEXPSALA,OEXPSALA_F,OEXPSALB,OEXPSALB_F,OEXPSALC,OEXPSALC_F,OEXPSALD,OEXPSALD_F,OEXPBENA,OEXPBENA_F,OEXPBENB,OEXPBENB_F,OEXPBENC,OEXPBENC_F,OEXPBEND,OEXPBEND_F,TOTOXSTA,TOTOXSTA_F,TOTOXSTB,TOTOXSTB_F,TOTOXSTC,TOTOXSTC_F,TOTOXSTD,TOTOXSTD_F,OEXPCOLA,OEXPCOLA_F,OEXPCOLB,OEXPCOLB_F,OEXPCOLC,OEXPCOLC_F,OEXPCOLD,OEXPCOLD_F,OEXPOTHA,OEXPOTHA_F,OEXPOTHB,OEXPOTHB_F,OEXPOTHC,OEXPOTHC_F,OEXPOTHD,OEXPOTHD_F,TOTOPEXA,TOTOPEXA_F,TOTOPEXB,TOTOPEXB_F,TOTOPEXC,TOTOPEXC_F,TOTOPEXD,TOTOPEXD_F,AIDIPLA,AIDIPLA_F,AIDIPLB,AIDIPLB_F,AIDIPLC,AIDIPLC_F,AIDIPLD,AIDIPLD_F,AIDPLSA,AIDPLSA_F,AIDPLSB,AIDPLSB_F,AIDPLSC,AIDPLSC_F,AIDPLSD,AIDPLSD_F,AIDOILA,AIDOILA_F,AIDOILB,AIDOILB_F,AIDOILC,AIDOILC_F,AIDOILD,AIDOILD_F,AIDMLSA,AIDMLSA_F,AIDMLSB,AIDMLSB_F,AIDMLSC,AIDMLSC_F,AIDMLSD,AIDMLSD_F,AIDSALA,AIDSALA_F,AIDSALB,AIDSALB_F,AIDSALC,AIDSALC_F,AIDSALD,AIDSALD_F,AIDLCA,AIDLCA_F,AIDLCB,AIDLCB_F,AIDLCC,AIDLCC_F,AIDLCD,AIDLCD_F,AIDOTHA,AIDOTHA_F,AIDOTHB,AIDOTHB_F,AIDOTHC,AIDOTHC_F,AIDOTHD,AIDOTHD_F,TOTAIDA,TOTAIDA_F,TOTAIDB,TOTAIDB_F,TOTAIDC,TOTAIDC_F,TOTAIDD,TOTAIDD_F,CAPITALA,CAPITALA_F,CAPITALB,CAPITALB_F,CAPITALC,CAPITALC_F,CAPITALD,CAPITALD_F,OTHEXPA,OTHEXPA_F,OTHEXPB,OTHEXPB_F,OTHEXPC,OTHEXPC_F,OTHEXPD,OTHEXPD_F,TOTEXPA,TOTEXPA_F,TOTEXPB,TOTEXPB_F,TOTEXPC,TOTEXPC_F,TOTEXPD,TOTEXPD_F,SWEXPT,SWEXPT_F,GREXPT,GREXPT_F,ADMEXPT,ADMEXPT_F,TOTEXPT,TOTEXPT_F,TECHXU,TECHXU_F,SERDIFXU,SERDIFXU_F,SERLLXU,SERLLXU_F,ADMEXPU,ADMEXPU_F,TOTEXPU,TOTEXPU_F,ELECPLAN,ELECPLAN_F,ELECOPER,ELECOPER_F,ELECBIBL,ELECBIBL_F,ELECTEXT,ELECTEXT_F,DIG_STLA,DIG_STLA_F,DIG_AG,DIG_AG_F,DIG_LIB,DIG_LIB_F,NETTRSTF,NETTRSTF_F,NETTRCUS,NETTRCUS_F,NETSUB,NETSUB_F,NETEQUIP,NETEQUIP_F,NETMOUNT,NETMOUNT_F,NETGOPH,NETGOPH_F,PAGIW_LO,PAGIW_LO_F,PAIW_OTH,PAIW_OTH_F,SWDBLICA,SWDBLICA_F,SWDBLICB,SWDBLICB_F,SWDBLICC,SWDBLICC_F,SWDBLICD,SWDBLICD_F,PUBSWDBL,PUBSWDBL_F,ACSWDBL,ACSWDBL_F,SCHSWDBL,SCHSWDBL_F,SPCSWDBL,SPCSWDBL_F,LCSWDBL,LCSWDBL_F,OTHSWDBL,OTHSWDBL_F,REMOTEAC,REMOTEAC_F,ACCWBCAT,ACCWBCAT_F,ACCOTH,ACCOTH_F,OTHACCSP,OTHACCSP_F,ERATEAPP,ERATEAPP_F,POPU_ST,FIPSST,OBEREG,RSTATUS
ALABAMA PUBLIC LIBRARY SERVICE,6030 MONTICELLO DRIVE,MONTGOMERY,AL,36117,1907,6030 MONTICELLO DRIVE,MONTGOMERY,AL,36117,1907,HTTP://WEBMINI.APLS.STATE.AL.US/APLS_WEB/APLS/APLS/,10/1/2011,R,9/30/2012,R,E,R,B,R,X,R,P,S,P,S,P,R,P,S,P,S,P,S,N,R,N,R,N,R,N,R,N,R,P,S,N,R,N,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,D,R,D,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,D,R,D,R,N,R,N,R,N,R,D,R,D,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,D,R,D,R,N,R,N,R,N,R,D,R,D,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,N,R,D,R,D,R,D,R,D,R,D,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,D,R,D,R,N,R,N,R,N,R,D,R,D,R,N,R,N,R,N,R,D,R,D,R,N,R,N,R,N,R,D,R,D,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,D,R,40,R,40,R,0,R,0,R,1,R,0,R,0,R,1,R,1,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,64302,R,0,R,0,R,310,R,0,R,N,R,N,R,N,R,N,R,902,R,1025,R,187,R,461,R,525,R,108,R,75,R,4946,R,1,R,0,R,7,R,8,R,7,R,0,R,0,R,7,R,4,R,0,R,7,R,11,R,0,R,0,R,4,R,4,R,12,R,0,R,18,R,30,R,Y,R,N,R,N,R,N,R,Y,R,2567650,R,0,R,P,S,2567650,R,2150218,R,4179597,R,0,R,6329815,R,9097,R,8906562,R,355941,R,1109334,R,0,R,1465275,R,133723,R,392246,R,0,R,525969,R,489664,R,1501580,R,0,R,1991244,R,421748,R,273460,R,0,R,695208,R,556468,R,640473,R,0,R,1196941,R,1467880,R,2415513,R,0,R,3883393,R,1025252,R,2296046,R,0,R,3321298,R,69445,R,1883551,R,0,R,1952996,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,5150,R,0,R,0,R,5150,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1099847,R,4179597,R,0,R,5279444,R,0,R,224343,R,0,R,224343,R,0,R,0,R,9097,R,9097,R,2567727,R,6819453,R,9097,R,9396277,R,1369260,R,1099847,R,98543,R,2567650,R,1166652,R,433402,R,869053,R,98543,R,2567650,R,Y,R,N,R,Y,R,Y,R,N,R,N,R,Y,R,Y,R,Y,R,Y,R,N,R,Y,R,Y,R,0,R,0,R,830599,R,269800,R,0,R,1100399,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,N,R,P,S,N,R,4822023,1,5,1
"ALASKA DEPARTMENT OF EDUCATION, DIVISION OF LIBRARIES, ARCHIVES & MUSEUMS",333 WILLOUGHBY AVENUE,JUNEAU,AK,99801,1770,P.O. BOX 110571,JUNEAU,AK,99811,571,WWW.LIBRARY.STATE.AK.US,7/1/2011,R,6/30/2012,R,E,R,P,S,P,S,P,S,E,R,P,R,Y,R,X,R,P,S,Y,R,N,R,Y,R,Y,R,N,R,P,S,Y,R,N,R,N,R,N,R,N,R,N,R,N,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,C,R,C,R,C,R,C,R,C,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,N,R,N,R,N,R,N,R,N,R,C,R,C,R,C,R,C,R,C,R,N,R,N,R,N,R,N,R,N,R,D,R,D,R,D,R,D,R,D,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,C,R,C,R,C,R,C,R,C,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,C,R,C,R,C,R,C,R,C,R,D,R,N,R,D,R,N,R,N,R,85,R,41,R,2,R,0,R,1,R,1,R,0,R,2,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,0,R,1,R,1,R,0,R,0,R,1,R,136582,R,456,R,1510,R,1446,R,622811,R,Y,R,Y,R,N,R,Y,R,1377,R,648,R,1359,R,36159,R,27498,R,203,R,80,R,1067,R,1,R,0,R,3,R,4,R,4,R,0,R,5.5,R,9.5,R,9,R,0,R,12,R,21,R,1,R,0,R,0,R,1,R,15,R,0,R,20.5,R,35.5,R,N,R,Y,R,Y,R,Y,R,Y,R,960008,R,1182565,R,"LAURA BUSH 21ST CENTURY LIBRARIES (IMLS) FOR ALASKA NATIVE LIBRARIES ARCHIVES AND MUSEUMS SUMMIT (ANLAMS) $33,845 AND U.S. DEPT. OF COMMERCE BTOP AWARD FOR ALASKA (ONLINE WITH LIBRARIES) OWL PROJECT F",R,2142573,R,3593642,R,891400,R,0,R,4485042,R,870000,R,7497615,R,127020,R,2875077,R,0,R,3002097,R,48117,R,1090480,R,0,R,1138597,R,175137,R,3965557,R,0,R,4140694,R,0,R,127711,R,0,R,127711,R,141750,R,558876,R,58181,R,758807,R,316887,R,4652144,R,58181,R,5027212,R,929233,R,682347,R,0,R,1611580,R,0,R,0,R,0,R,0,R,39911,R,3156,R,0,R,43067,R,215649,R,24440,R,0,R,240089,R,587814,R,181457,R,0,R,769271,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1772607,R,891400,R,0,R,2664007,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2089494,R,5543544,R,58181,R,7691219,R,0,R,932156,R,27852,R,960008,R,430271,R,226047,R,275838,R,27852,R,960008,R,Y,R,Y,R,Y,R,Y,R,Y,R,N,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,8,R,0,R,165340,R,0,R,0,R,165340,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,N,R,P,S,N,R,731449,2,8,1
"ARIZONA STATE LIBRARY, ARCHIVES AND PUBLIC RECORDS",1700 WEST WASHINGTON - SUITE 200,PHOENIX,AZ,85007,2896,"1700 WEST WASHINGTON, ROOM 200",PHOENIX,AZ,85007,2896,WWW.AZLIBRARY.GOV,7/1/2011,R,6/30/2012,R,E,R,P,S,P,S,P,S,S,R,P,R,Y,R,P,S,X,R,Y,R,Y,R,Y,R,Y,R,N,R,P,S,N,R,Y,R,N,R,N,R,N,R,N,R,N,R,D,R,D,R,D,R,D,R,D,R,D,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,D,R,D,R,N,R,N,R,N,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,C,R,C,R,C,R,C,R,C,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,N,R,D,R,N,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,N,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,C,R,N,R,N,R,C,R,C,R,D,R,D,R,N,R,D,R,D,R,D,R,D,R,D,R,D,R,D,R,C,R,C,R,C,R,C,R,C,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,D,R,C,R,C,R,C,R,C,R,C,R,D,R,N,R,N,R,N,R,D,R,90,R,45,R,0,R,0,R,1,R,1,R,0,R,2,R,0,R,1,R,0,R,1,R,1,R,1,R,0,R,2,R,1,R,1,R,0,R,2,R,1,R,1,R,0,R,2,R,1,R,1,R,0,R,2,R,730845,R,57726,R,4210,R,1920,R,482302,R,Y,R,Y,R,Y,R,N,R,25279,R,1827,R,638,R,8675,R,7053,R,60,R,82,R,2538,R,4,R,0,R,17.5,R,21.5,R,4,R,1,R,7,R,12,R,16,R,2,R,27,R,45,R,3,R,0,R,39.25,R,42.25,R,27,R,3,R,90.75,R,120.75,R,Y,R,N,R,N,R,N,R,N,R,3410213,R,956097,R,"NATIONAL DIGITAL NEWSPAPER PROGRAM(NDNP);ARIZONA CONNECTING TO COLLECTIONS(AC2C);NATIONAL HISTORICAL PUBLICATIONS(NHPRC, SNAP, AHRAB);ARRA,PCC,AZ JOB HELP HUBS@YOUR LIBRARY(BTOP1 & BTOP2);PEDALS",R,4366310,R,5603352,R,651400,R,97000,R,6351752,R,1303798,R,12021860,R,689009,R,3070399,R,86162,R,3845570,R,243997,R,1352172,R,46762,R,1642931,R,933006,R,4422571,R,132924,R,5488501,R,166065,R,171647,R,2654,R,340366,R,2353930,R,760679,R,863817,R,3978426,R,3453001,R,5354897,R,999395,R,9807293,R,792703,R,505000,R,0,R,1297703,R,0,R,0,R,0,R,0,R,67768,R,0,R,0,R,67768,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,129907,R,0,R,129907,R,41125,R,0,R,0,R,41125,R,901596,R,637907,R,0,R,1539503,R,43038,R,189750,R,0,R,232788,R,0,R,20999,R,2300,R,23299,R,4397635,R,6200533,R,1001695,R,11599883,R,2495460,R,786591,R,128162,R,3410213,R,1817871,R,18827,R,1445353,R,128162,R,3410213,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,10,R,0,R,837376,R,767,R,12087,R,850230,R,Y,R,N,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,N,R,P,S,Y,R,6553255,4,6,1
ARKANSAS STATE LIBRARY,"900 WEST CAPITOL, SUITE 100",LITTLE ROCK,AR,72201,3108,"900 WEST CAPITOL, SUITE 100",LITTLE ROCK,AR,72201,3108,WWW.LIBRARY.ARKANSAS.GOV,7/1/2011,R,6/30/2012,R,E,R,P,S,P,S,P,S,E,R,P,R,Y,R,X,R,P,S,N,R,N,R,N,R,N,R,N,R,P,S,N,R,Y,R,N,R,N,R,N,R,N,R,N,R,D,R,D,R,D,R,D,R,N,R,D,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,D,R,D,R,D,R,D,R,N,R,N,R,N,R,N,R,N,R,N,R,D,R,D,R,D,R,D,R,N,R,D,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,C,R,C,R,C,R,C,R,N,R,D,R,D,R,D,R,D,R,N,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,C,R,C,R,C,R,C,R,N,R,D,R,N,R,N,R,N,R,N,R,45,R,45,R,0,R,0,R,1,R,0,R,0,R,1,R,1,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,0,R,1,R,1,R,0,R,0,R,1,R,56289,R,137,R,143,R,503,R,0,R,Y,R,Y,R,Y,R,N,R,2800,R,1119,R,209,R,2273,R,3134,R,0,R,37,R,569,R,2,R,0,R,10,R,12,R,6,R,0,R,1,R,7,R,12,R,0,R,20.5,R,32.5,R,0,R,0,R,0,R,0,R,20,R,0,R,31.5,R,51.5,R,Y,R,N,R,N,R,N,R,N,R,1812546,R,900,R,LIBRARY OF CONGRESS CENTER FOR THE BOOK,R,1813446,R,3464873,R,5700000,R,208000,R,9372873,R,5492,R,11191811,R,334407,R,1718534,R,0,R,2052941,R,138613,R,522950,R,0,R,661563,R,473020,R,2241484,R,0,R,2714504,R,429114,R,152770,R,0,R,581884,R,924314,R,1070610,R,0,R,1994924,R,1826448,R,3464864,R,0,R,5291312,R,0,R,5588400,R,45000,R,5633400,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,111600,R,0,R,111600,R,0,R,5700000,R,45000,R,5745000,R,43377,R,0,R,0,R,43377,R,0,R,0,R,0,R,0,R,1869825,R,9164864,R,45000,R,11079689,R,1813926,R,0,R,55899,R,1869825,R,826767,R,225931,R,761228,R,55899,R,1869825,R,Y,R,Y,R,Y,R,Y,R,N,R,N,R,N,R,Y,R,Y,R,N,R,N,R,Y,R,Y,R,10,R,0,R,798328,R,164000,R,0,R,962328,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,Y,R,N,R,P,S,N,R,2949131,5,5,1
CALIFORNIA STATE LIBRARY,900 N ST,SACRAMENTO,CA,95814,4800,P.O. BOX 942837,SACRAMENTO,CA,94237,1,WWW.LIBRARY.CA.GOV,7/1/2011,R,6/30/2012,R,E,R,G,R,P,S,P,S,P,S,P,R,P,S,P,S,P,S,N,R,Y,R,N,R,N,R,N,R,P,S,N,R,Y,R,N,R,N,R,N,R,N,R,N,R,D,R,D,R,D,R,D,R,D,R,D,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,D,R,D,R,D,R,D,R,N,R,D,R,D,R,C,R,C,R,C,R,C,R,C,R,C,R,C,R,C,R,C,R,C,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,D,R,D,R,N,R,N,R,N,R,D,R,D,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,C,R,C,R,C,R,C,R,C,R,D,R,D,R,D,R,D,R,D,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,C,R,C,R,C,R,C,R,C,R,N,R,N,R,N,R,N,R,N,R,C,R,N,R,N,R,N,R,N,R,C,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,N,R,D,R,N,R,N,R,N,R,D,R,108,R,33,R,0,R,0,R,1,R,2,R,0,R,3,R,1,R,0,R,0,R,1,R,1,R,0,R,0,R,1,R,1,R,0,R,0,R,1,R,1,R,2,R,0,R,3,R,1,R,1,R,0,R,2,R,917815,R,973,R,2306,R,2097,R,4720339,R,Y,R,Y,R,Y,R,N,R,19824,R,9492,R,371,R,17249,R,70125,G,198,R,508,R,30348,R,2,R,0,R,26,R,28,R,5,R,0,R,7,R,12,R,30,R,0,R,34,R,64,R,5,R,0,R,25,R,30,R,42,R,0,R,92,R,134,R,N,R,N,R,N,R,N,R,N,R,15497372,R,0,R,N/A,R,15497372,R,14108240,R,0,R,0,R,14108240,R,553006,R,30158618,R,1934935,R,5154195,R,298980,R,7388110,R,835700,R,1949687,R,138429,R,2923816,R,2770635,R,7103882,R,437409,R,10311926,R,306120,R,388011,R,0,R,694131,R,2150477,R,6616347,R,115697,R,8882521,R,5227232,R,14108240,R,553106,R,19888578,R,2710885,R,0,R,0,R,2710885,R,0,R,0,R,0,R,0,R,261955,R,0,R,0,R,261995,R,5735122,R,0,R,0,R,5735122,R,2551208,R,0,R,0,R,2551208,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,11259170,R,0,R,0,R,11259170,R,0,Z,945347,G,0,Z,945347,T,0,Z,0,Z,0,Z,0,Z,16486402,R,14108240,R,553106,R,31147748,R,3618429,R,11259170,R,619773,R,15497372,R,6365967,R,3317247,R,5194385,R,619773,R,15497372,R,Y,R,N,R,Y,R,N,R,Y,R,N,R,Y,R,Y,R,Y,R,N,R,N,R,Y,R,Y,R,31,R,0,R,26250,R,0,R,0,R,26250,R,Y,R,N,R,N,R,N,R,N,R,Y,R,Y,R,Y,R,N,R,P,S,N,R,38041430,6,8,2
