Postal Code,Name,Poverty Estimate,Poverty Percent
AR,Phillips County,"3,767",22.1
AR,Pike County,"1,932",18.6
AR,Poinsett County,"4,857",21.2
AR,Polk County,"3,538",18.1
AR,Pope County,"8,552",14.1
AR,Prairie County,"1,137",14.5
AR,Pulaski County,"59,031",15.3
AR,Randolph County,"2,912",16.3
AR,St. Francis County,"6,199",30.1
AR,Saline County,"10,057",8.2
AR,Scott County,"1,756",17.5
AR,Searcy County,"1,732",22.3
AR,Sebastian County,"21,137",16.8
AR,Sevier County,"2,755",16.7
AR,Sharp County,"3,110",18.1
AR,Stone County,"2,513",20.1
AR,Union County,"6,381",16.9
AR,Van Buren County,"2,674",16.4
AR,Washington County,"30,994",13.2
AR,White County,"11,176",14.8
AR,Woodruff County,"1,386",22.6
AR,Yell County,"2,971",14.3
CA,California,"4,419,167",11.5
CA,Alameda County,"139,636",8.6
CA,Alpine County,159,14.3
CA,Amador County,"3,678",10.3
CA,Butte County,"35,963",17.3
CA,Calaveras County,"5,310",11.6
CA,Colusa County,"2,200",10.3
CA,Contra Costa County,"82,136",7.2
CA,Del Norte County,"4,604",18.5
CA,El Dorado County,"15,992",8.4
CA,Fresno County,"168,153",17.1
CA,Glenn County,"3,470",12.4
CA,Humboldt County,"20,847",15.8
CA,Imperial County,"31,134",18.1
CA,Inyo County,"1,940",10.9
CA,Kern County,"159,609",18.3
CA,Kings County,"19,874",14.5
CA,Lake County,"10,131",15.9
CA,Lassen County,"3,555",15.5
CA,Los Angeles County,"1,289,368",13.2
CA,Madera County,"21,211",14.1
CA,Marin County,"15,119",6.0
CA,Mariposa County,"2,258",13.3
CA,Mendocino County,"12,099",14.3
CA,Merced County,"44,302",16.3
CA,Modoc County,"1,529",17.9
CA,Mono County,"1,285",9.0
CA,Monterey County,"47,870",11.6
CA,Napa County,"10,356",7.9
CA,Nevada County,"9,040",9.2
CA,Orange County,"280,128",9.0
CA,Placer County,"25,815",6.5
